Date,Close
5/1/2018,118.8
5/2/2018,122.06
5/3/2018,123.1
5/4/2018,125.36
5/7/2018,125.57
5/8/2018,125.77
5/9/2018,127.04
5/10/2018,127.39
5/11/2018,127.34
5/14/2018,126.68
5/15/2018,127.07
5/16/2018,128.02
5/17/2018,127.99
5/18/2018,128.91
5/21/2018,128.84
5/22/2018,128.38
5/23/2018,129.36
5/24/2018,130.27
5/25/2018,130.65
5/29/2018,129.93
5/30/2018,130.63
5/31/2018,130.63
6/1/2018,132.73
6/4/2018,134.25
6/5/2018,134.07
6/6/2018,136.1
6/7/2018,134.58
6/8/2018,135.35
6/11/2018,134.08
6/12/2018,139.3
6/13/2018,140.34
6/14/2018,139.82
6/15/2018,139.57
6/18/2018,138.99
6/19/2018,138.6
6/20/2018,137.79
6/21/2018,138.21
6/22/2018,139.09
6/25/2018,136.63
6/26/2018,135.09
6/27/2018,133.07
6/28/2018,134.25
6/29/2018,134.14
7/2/2018,134.86
7/3/2018,133.66
7/5/2018,133.71
7/6/2018,134.22
7/9/2018,134.52
7/10/2018,135.97
7/11/2018,135.37
7/12/2018,137.5
7/13/2018,137.34
7/16/2018,137.12
7/17/2018,137.36
7/18/2018,137.5
7/19/2018,137.06
7/20/2018,137.33
7/23/2018,137.7
7/24/2018,137.11
7/25/2018,139.15
7/26/2018,139.24
7/27/2018,137.41
7/30/2018,134.29
7/31/2018,134.99
8/1/2018,132.61
8/2/2018,133.15
8/3/2018,134.25
8/6/2018,135.56
8/7/2018,137.91
8/8/2018,137.82
8/9/2018,138.37
8/10/2018,139.29
8/13/2018,139.67
8/14/2018,141.15
8/15/2018,141.24
8/16/2018,141.24
8/17/2018,142.55
8/20/2018,142.16
8/21/2018,143.04
8/22/2018,143.3
8/23/2018,143.35
8/24/2018,143.59
8/27/2018,143.6
8/28/2018,143.83
8/29/2018,146.35
8/30/2018,145.49
8/31/2018,146.75
9/4/2018,145.81
9/5/2018,146.14
9/6/2018,147.28
9/7/2018,146.73
9/10/2018,147.02
9/11/2018,147
9/12/2018,147.13
9/13/2018,146.92
9/14/2018,147.46
9/17/2018,147.04
9/18/2018,147.56
9/19/2018,146.97
9/20/2018,148.88
9/21/2018,150.68
9/24/2018,149.07
9/25/2018,148.89
9/26/2018,149.62
9/27/2018,149.91
9/28/2018,150.66
10/1/2018,150.74
10/2/2018,151.77
10/3/2018,151.59
10/4/2018,150.22
10/5/2018,150.99
10/8/2018,149.3
10/9/2018,150.14
10/10/2018,141.78
10/11/2018,138.18
10/12/2018,140.72
10/15/2018,140.25
10/16/2018,143.28
10/17/2018,143.66
10/18/2018,142.92
10/19/2018,143.41
10/22/2018,143.99
10/23/2018,142.44
10/24/2018,137.65
10/25/2018,140.49
10/26/2018,136.35
10/29/2018,135.3
10/30/2018,137.26
10/31/2018,144.08
11/1/2018,140.91
11/2/2018,140.72
11/5/2018,141.41
11/6/2018,143.92
11/7/2018,148.3
11/8/2018,147.89
11/9/2018,147.19
11/12/2018,144.17
11/13/2018,144.72
11/14/2018,142.72
11/15/2018,147.25
11/16/2018,146.55
11/19/2018,143.44
11/20/2018,140.52
11/21/2018,141.08
11/23/2018,140.89
11/26/2018,144.65
11/27/2018,145.32
11/28/2018,148.61
11/29/2018,145.85
11/30/2018,147.42
12/3/2018,147.41
12/4/2018,143.61
12/6/2018,143.18
12/7/2018,139.33
12/10/2018,139.73
12/11/2018,139.99
12/12/2018,139.57
12/13/2018,138.2
12/14/2018,134.82
12/17/2018,132.47
12/18/2018,130
12/19/2018,130.33
12/20/2018,130.29
12/21/2018,125.37
12/24/2018,121.95
12/26/2018,127.7
12/27/2018,129.73
12/28/2018,129.23
12/31/2018,131.12
1/2/2019,130.14
1/3/2019,126.21
1/4/2019,131.24
1/7/2019,130.53
1/8/2019,131.3
1/9/2019,131.42
1/10/2019,132.46
1/11/2019,131.65
1/14/2019,130.9
1/15/2019,132.33
1/16/2019,132.76
1/17/2019,132.94
1/18/2019,135.18
1/22/2019,133.17
1/23/2019,134.42
1/24/2019,134.75
1/25/2019,136.41
1/28/2019,135.5
1/29/2019,134
1/30/2019,139.41
1/31/2019,139.84
2/1/2019,141.62
2/4/2019,143.63
2/5/2019,145.29
2/6/2019,145.54
2/7/2019,145.68
2/8/2019,146.81
2/11/2019,147.51
2/12/2019,149.5
2/13/2019,150.46
2/14/2019,148.15
2/15/2019,149.67
2/19/2019,150.31
2/20/2019,150.56
2/21/2019,150.98
2/22/2019,153.18
2/25/2019,152.49
2/26/2019,152.88
2/27/2019,152.98
2/28/2019,153.03
3/1/2019,153.9
3/4/2019,153.26
3/5/2019,152.66
3/6/2019,152.53
3/7/2019,150.42
3/8/2019,149.24
3/11/2019,151.09
3/12/2019,151.99
3/13/2019,152.84
3/14/2019,153.51
3/15/2019,155.31
3/18/2019,154.69
3/19/2019,154.63
3/20/2019,154.02
3/21/2019,155.34
3/22/2019,153.81
3/25/2019,153.75
3/26/2019,156.2
3/27/2019,156.79
3/28/2019,158.37
3/29/2019,159.74
4/1/2019,162.07
4/2/2019,161.44
4/3/2019,161.1
4/4/2019,159.34
4/5/2019,160.34
4/8/2019,160.46
4/9/2019,159.68
4/10/2019,160.42
4/11/2019,161.67
4/12/2019,163.31
4/15/2019,163.68
4/16/2019,162.14
4/17/2019,162.85
4/18/2019,162.44
4/22/2019,161.91
4/23/2019,165.04
4/24/2019,163.5
4/25/2019,163.86
4/26/2019,163.7
4/29/2019,162.99
4/30/2019,164.39
